Step,p0,p1,p2,v0,v1,v2,f0,f1,f2
0,9.179821527699692,2.7268782857389073,2.8451914274283,-0.004678584160077905,0.015759452483071146,0.0000005130525503599398,0,0,0
1,9.179366581420176,2.727314802558815,2.8462420763876404,-0.004676929158200577,0.01575994369055327,0.0000010263806943813856,0,0,0
2,9.178911745161933,2.7277513519577763,2.847292759695684,-0.004675274207938734,0.015760434676075314,0.0000015400876061704364,0,0,0
3,9.178457018920145,2.7281879338859745,2.848343477415458,-0.004673619309631095,0.015760925440485445,0.0000020541732605730218,0,0,0
4,9.178002402689785,2.7286245482942393,2.8493942296099863,-0.004671964462839403,0.015761415982016306,0.0000025686376328699392,0,0,0
5,9.177547897358908,2.7290611953974557,2.8504450163429005,-0.004670309668179892,0.01576190630245534,0.000003083480698457594,0,0,0
6,9.177093502922526,2.7294978751462287,2.8514958376775215,-0.004668654925734062,0.01576239640177835,0.0000035987024325391986,0,0,0
7,9.17663921848285,2.7299345872260106,2.852546693676347,-0.004667000235301161,0.015762886279023246,0.000004114302810190956,0,0,0
8,9.176185044035162,2.730371331587966,2.853597583936721,-0.004665345596920878,0.015763375934026522,0.0000046302818065484596,0,0,0
9,9.175730979573974,2.7308081081820745,2.8546485092201372,-0.004663691010476564,0.015763865366101644,0.0000051466393967914474,0,0,0
10,9.175277025094823,2.7312449169586284,2.8556994691239295,-0.004662036476265915,0.01576435457595723,0.00000566337555563708,0,0,0
11,9.174823181485337,2.731681758132853,2.856750463945145,-0.004660381994666936,0.015764843564578596,0.000006180490258452499,0,0,0
12,9.17436944784804,2.732118631388874,2.8578014937457494,-0.004658727565477473,0.015765332331004057,0.00000669798348087382,0,0,0
13,9.17391582417753,2.732555536679547,2.858852558355895,-0.004657073188760578,0.01576582087513904,0.000007215855197372687,0,0,0
14,9.173462311361575,2.7329924742191936,2.859903658072923,-0.004655418865153109,0.015766309198840728,0.000007734105383101989,0,0,0
15,9.17300890850266,2.733429443691926,2.8609547929584775,-0.004653764594197365,0.015766797300274575,0.000008252734013193803,0,0,0
16,9.172555615594993,2.7338664450504826,2.8620059630755272,-0.004652110375973682,0.015767285179416734,0.000008771741062069089,0,0,0
17,9.172102432633807,2.734303478244116,2.8630571684870354,-0.004650456210303197,0.015767772835371563,0.000009291126505267014,0,0,0
18,9.171649359614795,2.7347405432222076,2.864108409023132,-0.004648802097499088,0.01576826026891895,0.00000981089031787532,0,0,0
19,9.171196397425,2.7351776402007655,2.8651596849816467,-0.004647148037944497,0.015768747481042674,0.000010331032474821816,0,0,0
20,9.170743545166317,2.7356147688675176,2.8662109961908593,-0.004645494031420186,0.01576923447071027,0.000010851552950453976,0,0,0
21,9.170290802832914,2.7360519291714,2.867262343179375,-0.0046438400777903815,0.015769721237165035,0.000011372451720233324,0,0,0
22,9.169838170421007,2.7364891210619526,2.8683137255444753,-0.004642186177349243,0.015770207781116635,0.000011893728758727434,0,0,0
23,9.169385648818595,2.7369263447535657,2.8693651433515495,-0.00464053233045224,0.015770694103481205,0.00001241538404137515,0,0,0
24,9.16893323712646,2.73736359993364,2.870416596894113,-0.004638878536924932,0.015771180203364717,0.000012937417541553795,0,0,0
25,9.168480935339078,2.7378008865512014,2.87146808646792,-0.00463722479712698,0.015771666081684954,0.000013459829236432229,0,0,0
26,9.16802874345177,2.7382382045593188,2.872519611670236,-0.004635571110838324,0.015772151737406804,0.000013982619098471122,0,0,0
27,9.167576662352822,2.7386755541686734,2.873571172799667,-0.004633917478434856,0.015772637171516196,0.000014505787104174002,0,0,0
28,9.167124691143496,2.7391129350668098,2.8746227699164737,-0.004632263899455667,0.01577312238217955,0.00001502933322775343,0,0,0
29,9.166672829819586,2.739550347203143,2.875674402850733,-0.004630610374225801,0.01577360737017322,0.000015553257444506995,0,0,0
30,9.166221079267189,2.7399877907952948,2.8767260719013463,-0.004628956903121655,0.015774092136482995,0.00001607755972772166,0,0,0
31,9.165769438589347,2.7404252655275423,2.8777777768954222,-0.004627303485920272,0.01577457668007752,0.000016602240053580907,0,0,0
